note_id,active,name
5582F7EC087A4757A224B1F6EB67668A,TRUE,cyclamen
2686626A4843444EAB04F408D20C5E5E,TRUE,cypress
23DAEE9A4C094651954BB667D36D98DE,TRUE,cypress leaf
74E5C4F70689451BA9BF0BE6853A96FF,TRUE,cypriol oil
947F09E59D354F58B3298FE6CB738A74,TRUE,dahlia
F94428C2EC8C4B03983D0A837321621D,TRUE,daisy
532DEA75B39E496A9645A64417B48A43,TRUE,dandelion
69986A9DCDAC4C05B801C0C6C08D652E,TRUE,daphne
408A5954E2504C24BC4C113AF3A86532,TRUE,dark chocolate
DE40AAC9D64049E484793234E155F504,TRUE,dates
E510557ACE6D45E796D6140EE5349B19,TRUE,datura
6A1B8DF5187A49E6B276E2DF3F65810C,TRUE,davana
A1692FE409234917B93EC123F69A9E79,TRUE,desert rose
80AA1211AD884838986478DEDCFD86B7,TRUE,dew drop
B75F3FAE461B4946A6A09B98589F09C0,TRUE,dewberry
76A8228FE1714FF6A53B791B4E8EEAE2,TRUE,dianthus
8B4B32F689684698BE876B61A291B37C,TRUE,dill
B555C416942942D9832408D2F4A5B23F,TRUE,dried apricot
5E26A546AB564521BD95C4B3BE061AA5,TRUE,drift wood
F37209F945A247E9ACA99B4B71BA819A,TRUE,dulce de leche
1D7C8801B2A44AC1B303F5368913A007,TRUE,earthy notes
E3A3E68BC3D5496A964BA85FA326E31F,TRUE,ebony
AE993D37C1B34596AF2C211607D82654,TRUE,ebony tree
96678461A06F4D78B7FF7F8F6CAA6D8D,TRUE,ebony wood
8745D5B05BEC4931B6C44290CD69ED78,TRUE,edelweiss
949BCFEA587847E28B94FA2658BC4670,TRUE,elemi
A76623EECE0B4E0D8AAE804B3EC84200,TRUE,eucalyptus
CD46C756C9F84F1FB64E3E77F63307CC,TRUE,exotic floral notes
C80C0D9428C546A0A1CB8AAB47797DAC,TRUE,exotic fruits
9E54A4D1FDD049459D7FFE0502F44EB1,TRUE,exotic woods
3E1D91D47F3B43B08ADE086558D714A7,TRUE,fennel
5DADE3ECF5F14A4FA9A025A0778D1EF3,TRUE,fenugreek
87F24AEA2C9C4B9B909320C5A1EE5461,TRUE,fern
A804D88BF3BF465A8561F444E73CCEB6,TRUE,fig
90AE984B5F9A4736A3EA088603188C6C,TRUE,fig leaf
FD4CB687A49D490783F1AD621E011CAE,TRUE,fig tree
6D1A042FF3B44118949147EF28BEF86B,TRUE,finger lime
770E6F8415CC4DD692147CC4D896F22C,TRUE,fir
4FB0B88AFCC8402CAE81C55E8F8D56E8,TRUE,fir resin
1737E8ABE7684037A095D9E822868B7F,TRUE,firwood
2607C04848B548FC9141F059FC6A2926,TRUE,flame tree
52151A035FCA42759F6F97318D418421,TRUE,flax
559F2DCAA6354CF0A9BA9D0B8EE20D06,TRUE,floral notes
6DCC697C019E4521B0DD00A62ABFA132,TRUE,flower petals
F003EA05D9134C38AB9283AC6081586B,TRUE,forest fruits
69EB150C2324411FA681581E689F5EF0,TRUE,frangipani
8546F7AF8EE54C03909544AA0776D4AA,TRUE,freesia
154EB1872B7249EEBD53895D0860BD53,TRUE,freesia petals
80662D8246E646CDADDAF43947124199,TRUE,fruits
E969CF34FF3C4D0FB5640073BABB4EC6,TRUE,fruity notes
07CC6946554D44A7892D2D58728B2F9D,TRUE,ho wood
5B183ECCE3F546B68B3A76451AF03B17,TRUE,galbanum
88B8760D98624058B0F79F7605FBBDB4,TRUE,galbanum leaf
8F107B0851274C19AFB6878E73E7A2AD,TRUE,gardenia
EC23A3361C2D486FA5472FD3057AA7AC,TRUE,genmaicha
3BE18E00FF2542A1B73AA0CC4099035C,TRUE,gentiana
5260E8615540439B87F49535A091F35D,TRUE,geranium
495CFAC41CB741BD86E031558AA48E35,TRUE,gin
ED56C8F2E0C24B15B8295923353DC337,TRUE,ginger
938795C4812F4A9CB54A398FA29E26C3,TRUE,ginger flower
B880CC9234EF4930B986F83475B81F7B,TRUE,ginseng
D3CC8AB06CA14B94A73677A9881B4A44,TRUE,gladiolus
B518E390199B461CA9DAD2007CE86DA4,TRUE,goji berries
5A180C9DC94045CA84A3FBC75ABB6AA8,TRUE,gooseberry
D230D111ED2147408A1BD7DE61A4AD9A,TRUE,gorse
5FB46BCD736948ACA308F6D26B286684,TRUE,heliotrope
34153B9E35244C3197799F2D1438DDC2,TRUE,herbal notes
3CF4B7A35BF041299EF42DDF5E600614,TRUE,grapefruit
C791E0932F8741B5977B5467431C5371,TRUE,grapefruit blossom
9D89DDDEE7784E539B0A5C39281D2C7A,TRUE,grapefruit leaf
00C8565E9F1F48639E3E3EA8ED6B99C3,TRUE,grapes
5D3EE4D072E543AC9EF010E9646AFD05,TRUE,green accord
C77BF430E74B41E39A11E7D3B0223666,TRUE,green apple
FF734A3DFAAE476A86684192EF203F5E,TRUE,green leaves
0C0F325351684C058EF3BF3626152F0F,TRUE,green mango
210613A5946C43678F13F0FE7FBB5602,TRUE,green notes
65DD1E6C2DDF462FA6DF248BAD2839E3,TRUE,green pepper
3F0B313F1FC847F2A257BA3E1E82CE60,TRUE,green tea
65AAA7DDDBEA4052AEE1902E29771041,TRUE,grenadine
50DD266B1E704003B1A521277DA07B3E,TRUE,guaiac wood
57E60921318F4713BC2FE8D54CB37846,TRUE,guava
ABBF16A1CDF348A88176C1AF346C19D3,TRUE,gun powder
00C304EB77D940CFA451CA72D13A624B,TRUE,gurjan balsam
3B6075EA372B4F3E92AADF4DC06C65C0,TRUE,hawthorn
6B62B4E39BB34DB5BCD3272B34C20D6B,TRUE,hay
0E5EA19A1DE942C78309C965DECEBF11,TRUE,hazelnut
CBE202C2EBB7492B8D364D89BCA8D4CD,TRUE,hedione
59315E5C01A44FE0AB0B2DD630094FC8,TRUE,hibiscus
C7968A7D42274BE8815AA764273972B0,TRUE,hinoki wood
3FB6BE447ACA4CF3A3398C76D1EDD922,TRUE,honey
9FB0C80813AF42A9842663FE86949BA5,TRUE,honey suckle
032B1810C4744C6C95B1CD9545819D4B,TRUE,honeybush
7F4F49B6A0484274911CDBEB3144F00D,TRUE,hortensia
995EAF28AB2440FEA3801BAC315E9F4F,TRUE,hyacinth
BCC270BA3E5E43E7AA4888A379D3871A,TRUE,hyssop
C2D513C74E3549B1BCFA4B6F5A6DACB8,TRUE,ice
143777B94EEA40C083EB48D32DC5F626,TRUE,ice cream
F5C3D7140C7E423BBB5EC3EB64BB0A2D,TRUE,incense
FD0733DEE69E4859B2AF2E90131FDF34,TRUE,incienso
FB7447044E5A41E7BA12C9773CDCA9C0,TRUE,indole
E79BD96AD069470882B1DDAEFC863DC5,TRUE,iris
BC0DE6387DA948E5BCDA044178E88A67,TRUE,iris flower
393309D520384FA0AD47D843E17D118E,TRUE,massoia
DE0605A7B83E456D901B0B82D6437554,TRUE,white tea
C2D15EC138D34F919BDA11A82F6D28C2,TRUE,iso e super
7DE9471B0ECC4E409B27688B9F502717,TRUE,ivy
067DE215AC3B445EA82F09C97BE70328,TRUE,jaboticaba
FA21500A21F546A89F0994E033713B17,TRUE,jacaranda
F10CA2D4397542C49BDBD4992C03CF01,TRUE,jackfruit
660A954A88154DA8A87FB862B6E153C6,TRUE,jade flower
5E7339E9C1274606843E4FFA5F9787BB,TRUE,jasmine
299ED9296AFC4CD5B2451565CC696F4F,TRUE,jasmine tea
4A5A626F7CE24F0E960F62B3CCBD3CD5,TRUE,javanol
03F3DA30C5804560BE0CB2EE44A55BA9,TRUE,juniper berries
6F1C3F6027B749909776750B1E097581,TRUE,kaffir lime
ACE9C7C726E24E0B884A94B186E82A7D,TRUE,karo
7A08DCD5E159499793F2C32443FC8D13,TRUE,kephalis
D04D5B03FD7742978A9068E59E0AB006,TRUE,khella
D94179F414414E7D9DDAE13CB09C1891,TRUE,kiwi
088E6D695F0A4C2D8C6DCA9540DB8EEC,TRUE,kumquat
86DD4608C31D4858AE55DAE846EE7740,TRUE,lady of the night flower
C2162C863E024C668A59E44A0EA90100,TRUE,lantana
5D1F34CFEEF84857AF5FFB090E475881,TRUE,lantana leaves
2ACECFF7E65E4663B78025927F104DB7,TRUE,larch
56D5939888CC4BA98523201F2B8BEDF4,TRUE,laurels
0AC229FB6A134DB6969E9B2A69B52F05,TRUE,lavender
28C38D339A1349DB941A8E8E11B741E1,TRUE,leather
D810EE54795B425CB721931BCDAADEB8,TRUE,leatherwood
80E4E9F36B5F48D5B2673D2918C4A255,TRUE,lemon
A4DA88E7B81445D4802EC368437AC47B,TRUE,lemon balm
85EBDD9ABF2B45DD8B05104FEBFD1331,TRUE,lemon blossom
F363EBC7D5954294B4898B8D614516A6,TRUE,lemon leaf
4AF6FA55F02447829B8DC681785BBA31,TRUE,lemon verbena
A96E41E5CC4C453486884AF8A4D63BCA,TRUE,lemon zest
D2D9C3E1235445CE95E8AC7386EC7ED5,TRUE,lemonade
BDAD4AE33F8B49F2BBF9019FB84C8DFD,TRUE,lemongrass
B138E31E767F4313AFA507DEAD702D48,TRUE,lemontree
56F50036125C40CD87DAF15FCE80C589,TRUE,liatris
1F51D54E2BEC4765867F393781422C85,TRUE,licorice
4C9A45600D704986AB11C7ED67BDF975,TRUE,lilac
50F6346E0AB94F0CB32EAFDBC08A51BF,TRUE,lillac
705E504AFCEE4400B04E64D33EC2E1E8,TRUE,lily
B9C4AD7736D84AF8A520F7012D254D0B,TRUE,lily of the valley
34240FB4D57E4F25B1A7B92561B9DBFA,TRUE,lime
E67BD08EF0754153B55111CDD838E1FC,TRUE,lime (linden) blossom
6BC865CADCCD4B52A3478450B1A36C87,TRUE,lime peel
048A108BA2CF410FA9BB69FED3F65102,TRUE,linen
1ABAA1C8EDA341959AF8A1EBC52E29B7,TRUE,liquor
AC27161EA3EA4E29B5F94C3825CBE97E,TRUE,litchi
58335F5B68E54717A14C96C22F665F20,TRUE,litsea cubeba
B436742C3FBB4FA7B2CF0187D84D9573,TRUE,oily notes
57884951D9BF48B392E8A521CAAD3956,TRUE,olive
654E26361F764F6984978B0EAA879796,TRUE,lorenox
680DA7BC35AD4237ABE2479E3EE3E021,TRUE,lotus
5BB7A7A9CEFE4F0BA11559C9FA60F28E,TRUE,loukhoum
E6975C8F2D164D419FC35D21ADC329A4,TRUE,lupin
091F882A354446AF8F9300231803657F,TRUE,macadamia
5C1A896DF9354D07B8466CD26CF191EF,TRUE,macarons
A75FC036EE05423F9EDBA0B8FA8E0029,TRUE,magnolia
FA9B7B15844B45D19386D3EDA1C894C7,TRUE,mahogany
36ACBC883F714026A0EBCD7C924D00D0,TRUE,mahogany wood
502859CA9F1E40FB95B77E032A618EAD,TRUE,mahonia
F437754C4CB9452CACF3DA562AF79067,TRUE,malt
116E75FD82AE466791AE612D9ED8EA63,TRUE,maltol
55699A2E41D74075BAD89CD532652244,TRUE,mandarin blossom
5406A00D5BBC46B0B0B4FA1CD929BA0D,TRUE,mandarin leaf
E7927C4A85A44B20903F9B71ABDE7FB1,TRUE,mandarin orange
07D6840E4606461D9542B560134A2A63,TRUE,mango
3999906574A34F8582F6821723268850,TRUE,mango blossom
DB2FA2293F3B41D4BA1775EDF9D254C4,TRUE,mangosteen
E2733E0148DA4EE29BCF1F7743D4EDFB,TRUE,maninka
43CF590938694DBFA5559B3D9E220626,TRUE,manuka
A090684AC2A643249FB58C6E3D9EC6CB,TRUE,maple
128EA180295E43F4B06D6D9A7012D258,TRUE,maple sap
ABAC08149E23446EA2DAB95E01EFB1DD,TRUE,marigold
C9B86363B1BB40DCBEA72C3BD1354C6E,TRUE,marjoram
B264539A16CB4472AD59656141C53A4C,TRUE,marshamallow
5FE3AA7D776D406380AA4E96EAA8E937,TRUE,marshmallow
D4F1D39D09A148DE8DFF5E66FBFC1FF3,TRUE,massoia wood
04FF60814193438C938EC753FD9DA5EA,TRUE,matcha tea
