color_code,red,green,blue,name,family,cellular,roller,panel_track,sheer,drapery,valance_cornice,soft_roman,insulating_blinds,filename,composite_filename
661,231,222,209,ANGEL FEATHER,Off White,1,1,1,1,1,1,1,1,,
662,214,200,186,ALMOND KISS,Tan,1,1,1,1,1,1,1,1,,
663,199,179,160,CINNAMON TEA,Tan,1,1,1,0,1,1,1,1,,
664,156,130,111,TIMELESS COPPER,Brown,1,1,1,0,1,1,1,1,,
665,150,126,105,BAKED SIENNA,Brown,1,1,1,0,1,1,1,1,,
666,222,209,197,SIMPLE COTTAGE,Beige,1,1,1,1,1,1,1,1,,
667,210,194,180,SOUTHERN CHARM,Tan,1,1,1,1,1,1,1,1,,
668,187,167,144,GROUNDHOG,Brown,1,1,1,1,1,1,1,1,,
669,177,150,124,LOG CABIN,Brown,1,1,1,0,1,1,1,1,,
670,216,199,187,STRAWBERRY CREAM,Pink,1,1,1,1,1,1,1,1,,
671,197,176,163,DUSTY ROSE,Pink,1,1,1,1,1,1,1,1,,
672,179,152,136,POTTER'S CLAY,Brown,1,1,1,0,1,1,1,1,,
673,149,122,103,SUGAR MAPLE,Brown,1,1,1,0,1,1,1,1,,
674,222,208,199,PINK MOIRE,Pink,1,1,1,1,1,1,1,1,,
675,184,158,147,VINTAGE PINK,Pink,1,1,1,0,1,1,1,1,,
676,176,148,133,DEERFIELD,Brown,1,1,1,0,1,1,1,1,,
677,159,128,115,DARK BLUSH,Brown,1,1,1,0,1,1,1,1,,
678,217,200,193,ROSE WATER,Pink,1,1,1,1,1,1,1,1,,
679,204,180,169,CORAL BEIGE,Pink,1,1,1,1,1,1,1,1,,
680,192,163,151,SANTA ROSA,Pink,1,1,1,0,1,1,1,1,,
681,176,141,126,VINTAGE CHARM,Brown,1,1,1,0,1,1,1,1,,
682,222,199,189,SUN DANCE,Pink,1,1,1,1,1,1,1,1,,
683,198,165,149,CALIFORNIA CORAL,"Orange,Peach",1,1,1,0,1,1,1,1,,
684,170,130,109,MEXICAN TILE,Brown,1,1,1,0,1,1,1,1,,
685,225,201,184,ANTIQUE PINK,Pink,1,1,1,0,1,1,1,1,,
686,212,181,172,CARNATION,Pink,1,1,1,0,1,1,1,1,,
687,196,159,143,PALMETTO PINK,Pink,1,1,1,0,1,1,1,1,,
688,180,133,120,BAKED TERRACOTTA,"Red,Burgundy",1,1,1,0,1,1,1,1,,
689,163,109,95,APPLE CIDER,"Red,Burgundy",1,1,1,0,1,1,1,1,,
690,196,174,152,OUTER BANKS,Tan,1,1,1,1,1,1,1,1,,
691,179,149,125,RUGGED TAN,Brown,1,1,1,0,1,1,1,1,,
692,217,196,178,SUNSET DRIVE,Beige,1,1,1,1,1,1,1,1,,
693,190,159,134,TUSCANY,Tan,1,1,1,0,1,1,1,1,,
694,168,133,104,TOASTED ALMONDS,Brown,1,1,1,0,1,1,1,1,,
