state,name,address
Bihar,Gupta Electronics,"Naya Bazar ,,Kavya Road,,"
Bihar,Indraj Construction,"Ground Floor, Ward N. 06,Near Panchmukhi Chowk,"
Bihar,Indraj Construction,"Ground Floor, Ward No. 06Near Panchmukhi Chowk"
Bihar,Indraj Construction,"Ground Floor, Ward No. 06Near Panchmukhi Chowk"
Bihar,M\/S S M Enterprises,"Kamal Niwas,1St Floor Station Chowk,"
Bihar,Tanvi Enterprises,"Sukhasan Road,Bhirkhi Ward N - 25,"
Bihar,Tanvi Enterprises,Sukhasan Roadbhirkhi Ward No - 25
Bihar,Tanvi Enterprises,Sukhasan Roadbhirkhi Ward No - 25
Bihar,Apna Electric House,"Churi Bazar ,,Main Market,"
Bihar,Maa Trading Company,"Ward N:- 30 ,C\/O:- Prabha Rani,Budh  Nagar Colonymadhubani,"
Bihar,Onkarmal Satyanarayan,"Ghoghardiha Station Road,Ward N. 01 Madhubani,"
Bihar,Tirupati Puja Iron Stores,"Main Road,Jaynagar,"
Bihar,Nav Durga Electricals,"Main Road,Near Block Office, Mairwa,"
Bihar,Devika Traders,"Po +Ps Masharak,Hansapir,,"
Bihar,Laxmi Narayan Electric,"Main Road,Mirganj,"
Bihar,Hind Traders,"Bank Road,,Motihari,"
Bihar,Devika Traders,"Po +Ps Masharak,Hansapir,,"
Bihar,Laxmi Narayan Electric,"Main Road,Mirganj,"
Bihar,Hind Traders,"Bank Road,,Motihari,"
Bihar,Maa Sharda Enterprises,"Motihari,,Kripa Neketan,Shastri Nagar,,Bhawani Pur Zirit,"
Bihar,Mh Enterprises,"301,Station Road Near Janpul Chowk,Janpul Azad Chowk,"
Bihar,Nandani Electric And Electronics,"Meena Bazar,Main Road,"
Bihar,Nilgiri Hardware,"East Champaran,Balua Tal,,Motihari"
Bihar,Shiv Shakti Agency,"Belisaray,Motihari,"
Bihar,Sri Sai Iron,"Ary Samaj Road,Chatauni Chowk,Motihari, Purbi Champaran"
Bihar,Dev Enterprises,"Shadipur Road, Shadipur ,Shadipur,"
Bihar,Mbs Enterprises.,"Neelam Cinema Road.,Munger,"
Bihar,Munger Electric House,"Chowk Bazar,Munger,"
Bihar,Bihar Agency,"Muzaffarpur,Jawaharlal Road,"
Bihar,Indo Nepal Trading Syndicate,"Jawaharlal Road, Muzaffarpur,Jawaharlal Road,"
